,question,answer
1066,apartemen nenekku berbau aneh.,begitu juga milikku.
1067,begitu juga milikku.,menurutku itu bau orang tua.
1068,menurutku itu bau orang tua.,Sungguh?
1069,Sungguh?,"Ya. menurutku saat kamu tua, kamu mulai berbau."
1070,"Ya. menurutku saat kamu tua, kamu mulai berbau.",suka buah yang terlalu matang?
1071,suka buah yang terlalu matang?,"ya, sama seperti buah yang terlalu matang."
1072,"ya, sama seperti buah yang terlalu matang.",tapi baunya berbeda.
1073,tapi baunya berbeda.,"ya, orang tua tidak berbau seperti buah."
1074,"ya, orang tua tidak berbau seperti buah.","tidak, baunya seperti toko barang bekas."
1075,"tidak, baunya seperti toko barang bekas.","ya, toko barang bekas memiliki bau yang sama."
1076,"ya, toko barang bekas memiliki bau yang sama.","ya, bau lama."
1077,harga perangko semakin naik.,menurutku prangko dulu harganya sepeser pun.
1078,menurutku prangko dulu harganya sepeser pun.,itu sudah lama sekali.
1079,itu sudah lama sekali.,itu sebelum aku lahir.
1080,itu sebelum aku lahir.,sekarang harga perangko adalah 42 sen.
1081,sekarang harga perangko adalah 42 sen.,tapi di bulan Mei harganya akan menjadi 44 sen.
1082,tapi di bulan Mei harganya akan menjadi 44 sen.,pernahkah kamu kehilangan surat di pos?
1083,pernahkah kamu kehilangan surat di pos?,"tidak, aku belum melakukannya."
1084,"tidak, aku belum melakukannya.",aku juga tidak.
1085,aku juga tidak.,"jadi, mereka melakukan pekerjaan dengan baik demi uang."
1086,"jadi, mereka melakukan pekerjaan dengan baik demi uang.",ya mereka melakukanya.
1087,ya mereka melakukanya.,mungkin kita tidak seharusnya mengeluh.
1088,sebuah kancing terlepas dari bajuku.,apa yang akan kamu lakukan?
1089,apa yang akan kamu lakukan?,"pertama, saya harus menemukan tombolnya."
1090,"pertama, saya harus menemukan tombolnya.",dimana kamu kehilangannya?
1091,dimana kamu kehilangannya?,Saya tidak punya ide.
1092,Saya tidak punya ide.,sebuah tombol sulit ditemukan. apakah kamu melihat manset celanamu?
1093,sebuah tombol sulit ditemukan. apakah kamu melihat manset celanamu?,itu ide yang bagus.
1094,itu ide yang bagus.,suatu kali aku menemukan kancing di manset celanaku.
1095,suatu kali aku menemukan kancing di manset celanaku.,"Mari saya lihat. tidak, itu tidak ada di sana."
1096,"Mari saya lihat. tidak, itu tidak ada di sana.",banyak kemeja dilengkapi dengan kancing tambahan.
1097,banyak kemeja dilengkapi dengan kancing tambahan.,kamu benar. yang ini memang memiliki tombol tambahan.
1098,kamu benar. yang ini memang memiliki tombol tambahan.,sekarang yang harus Anda lakukan hanyalah menjahitnya.
1099,saya harus pergi ke kamar mandi.,kamu terlalu banyak minum kopi.
1100,kamu terlalu banyak minum kopi.,tapi aku suka kopi.
1101,tapi aku suka kopi.,"baiklah, itu hidupmu."
1102,"baiklah, itu hidupmu.",kamu makan terlalu banyak coklat.
1103,kamu makan terlalu banyak coklat.,saya kira tidak demikian.
1104,saya kira tidak demikian.,sudahkah kamu melihat ke cermin?
1105,sudahkah kamu melihat ke cermin?,menurutmu aku bertambah gemuk?
1106,menurutmu aku bertambah gemuk?,aku tidak mengatakan itu.
1107,aku tidak mengatakan itu.,apa katamu?
1108,apa katamu?,aku bilang aku harus pergi ke kamar mandi.
1109,aku bilang aku harus pergi ke kamar mandi.,itulah yang menurutku kamu katakan.
1110,apakah kamu mencuci pakaian?,ya saya lakukan.
1111,ya saya lakukan.,apa yang kamu cuci?
1112,apa yang kamu cuci?,aku mencuci seprai dan handuk.
1113,aku mencuci seprai dan handuk.,bagaimana dengan sarung bantalnya?
1114,bagaimana dengan sarung bantalnya?,"ya, aku melepasnya dari bantal dan mencucinya."
1115,"ya, aku melepasnya dari bantal dan mencucinya.",apakah kamu mengeringkan semuanya di pengering?
1116,apakah kamu mengeringkan semuanya di pengering?,"ya, aku mengeringkan semuanya di pengering."
1117,"ya, aku mengeringkan semuanya di pengering.",lalu apa yang kamu lakukan?
1118,lalu apa yang kamu lakukan?,aku melipat semua handuk.
1119,aku melipat semua handuk.,apakah kamu meletakkan seprai di tempat tidur?
1120,apakah kamu meletakkan seprai di tempat tidur?,"ya, dan aku meletakkan sarung bantal di atas bantal."
1121,apa kamu mendengarkan radio?,saya mendengarkan siang dan malam.
1122,saya mendengarkan siang dan malam.,apa yang kamu dengarkan?
1123,apa yang kamu dengarkan?,kebanyakan bicara radio.
1124,kebanyakan bicara radio.,apa itu?
1125,apa itu?,orang berbicara tentang kejadian terkini.
1126,orang berbicara tentang kejadian terkini.,apa yang mereka katakan?
1127,apa yang mereka katakan?,mereka bilang mereka menginginkan perubahan.
1128,mereka bilang mereka menginginkan perubahan.,perubahan seperti apa?
1129,perubahan seperti apa?,mereka menginginkan pemotongan pajak.
1130,mereka menginginkan pemotongan pajak.,mengapa mereka menginginkan pemotongan pajak?
1131,mengapa mereka menginginkan pemotongan pajak?,karena pemotongan pajak akan menghemat uang mereka.
1132,ibu saya lapar.,lihat di lemari es.
1133,lihat di lemari es.,saya sedang mencari. tidak ada yang bisa dimakan.
1134,saya sedang mencari. tidak ada yang bisa dimakan.,apa kamu yakin?
1135,apa kamu yakin?,hampir kosong.
1136,hampir kosong.,aku pergi ke pasar kemarin.
1137,aku pergi ke pasar kemarin.,saya tidak melihat apa pun.
1138,saya tidak melihat apa pun.,aku membeli banyak jeruk dan apel.
1139,aku membeli banyak jeruk dan apel.,aku tidak ingin buah. aku ingin sesuatu yang enak.
1140,aku tidak ingin buah. aku ingin sesuatu yang enak.,makan buahnya. Itu bagus untuk Anda.
1141,makan buahnya. Itu bagus untuk Anda.,"lain kali kamu pergi ke pasar, biarkan aku pergi bersamamu."
1142,"lain kali kamu pergi ke pasar, biarkan aku pergi bersamamu.",tidak terima kasih. yang ingin Anda makan hanyalah hot dog dan permen batangan.
1143,apa yang bisa dimakan?,aku tidak tahu. lihat di lemari es.
1144,aku tidak tahu. lihat di lemari es.,kupikir aku akan membuat sandwich.
1145,kupikir aku akan membuat sandwich.,jenis apa?
1146,jenis apa?,sandwich ham.
1147,sandwich ham.,rotinya ada di lemari.
1148,rotinya ada di lemari.,dimana mustardnya?
1149,dimana mustardnya?,"itu ada di lemari es, menurutku."
1150,"itu ada di lemari es, menurutku.","oh ya, ini dia. apakah kamu ingin sandwich?"
1151,"oh ya, ini dia. apakah kamu ingin sandwich?","ya, kedengarannya bagus."
1152,"ya, kedengarannya bagus.",bagaimana dengan keripik kentang?
1153,bagaimana dengan keripik kentang?,"Ya. dan acar, jika ada."
1154,"sudah waktunya mandi, nona muda.","tapi, bu, aku tidak kotor."
1155,"tapi, bu, aku tidak kotor.",kamu perlu mandi setiap hari.
1156,kamu perlu mandi setiap hari.,Mengapa?
1157,Mengapa?,karena kamu tidak ingin baunya tidak sedap.
1158,karena kamu tidak ingin baunya tidak sedap.,aku tidak berbau busuk.
1159,aku tidak berbau busuk.,Itu yang kau pikirkan.
1160,Itu yang kau pikirkan.,"jika aku berbau busuk, aku bisa menciumku."
1161,"jika aku berbau busuk, aku bisa menciumku.",aku bisa mencium baumu.
1162,aku bisa mencium baumu.,aku juga bisa mencium baumu.
1163,aku juga bisa mencium baumu.,itu parfumku.
1164,itu parfumku.,kapan aku boleh memakai parfum?
1165,ada yang salah dengan komputerku.,sebenarnya apa?
1166,sebenarnya apa?,yang saya dapatkan hanyalah layar hitam.
1167,yang saya dapatkan hanyalah layar hitam.,apa masalahnya?
1168,apa masalahnya?,"sepertinya aku tahu, karena ini pernah terjadi sebelumnya."
1169,"sepertinya aku tahu, karena ini pernah terjadi sebelumnya.",apa yang terjadi sebelumnya?
1170,apa yang terjadi sebelumnya?,hard drive saya rusak.
1171,hard drive saya rusak.,Oh tidak. itu berita buruk.
1172,Oh tidak. itu berita buruk.,"tentu saja, tapi saya akan menelepon hp dulu, hanya untuk memastikan."
1173,"tentu saja, tapi saya akan menelepon hp dulu, hanya untuk memastikan.",apakah kamu akan kehilangan semua filemu?
1174,apakah kamu akan kehilangan semua filemu?,"tidak, saya selalu membuat cadangan file saya."
1175,"tidak, saya selalu membuat cadangan file saya.",kamu pintar.
1176,aku menelepon hp tentang komputerku.,apa yang mereka katakan?
1177,apa yang mereka katakan?,mereka bilang aku butuh hard drive baru.
1178,mereka bilang aku butuh hard drive baru.,itu terlalu buruk. berapa harga yang baru?
1179,itu terlalu buruk. berapa harga yang baru?,"tidak terlalu banyak, hanya sekitar $85."
1180,"tidak terlalu banyak, hanya sekitar $85.",ditambah instalasi?
1181,ditambah instalasi?,"tidak, hard drive saya mudah dilepas dan diganti."
1182,"tidak, hard drive saya mudah dilepas dan diganti.",Sungguh?
1183,Sungguh?,"ya, itu hanya beberapa sekrup."
1184,"ya, itu hanya beberapa sekrup.",itu bagus.
1185,itu bagus.,itu jauh lebih baik daripada membayar seseorang $60.
1186,itu jauh lebih baik daripada membayar seseorang $60.,"jika hard drive saya rusak, saya akan menghubungi Anda saja."
1187,Apa alamat email Anda?,itu bluedog123.
1188,itu bluedog123.,anjing biru123. apakah kamu yakin itu saja?
1189,anjing biru123. apakah kamu yakin itu saja?,Ya.
1190,Ya.,TIDAK. itu tidak lengkap.
1191,TIDAK. itu tidak lengkap.,Apa maksudmu?
1192,Apa maksudmu?,apa alamat suratmu?
1193,apa alamat suratmu?,"456 cherry drive, pasadena, ca 91170."
1194,"456 cherry drive, pasadena, ca 91170.",itu benar.
1195,itu benar.,jadi apa masalahnya?
1196,jadi apa masalahnya?,"bluedog123 hanyalah jalanan. Anda harus memberi saya kota, negara bagian, dan kode pos."
1197,"bluedog123 hanyalah jalanan. Anda harus memberi saya kota, negara bagian, dan kode pos.","oh, aku mengerti. alamat email saya adalah bluedog123@yahoo.com."
1198,aku akan tidur siang.,Anda harus mencabut telepon.
1199,Anda harus mencabut telepon.,itu ide yang bagus.
1200,itu ide yang bagus.,apakah kamu ingin aku membangunkanmu satu jam lagi?
1201,apakah kamu ingin aku membangunkanmu satu jam lagi?,"tidak, terima kasih. biarkan aku tidur sampai aku bangun."
1202,"tidak, terima kasih. biarkan aku tidur sampai aku bangun.",saya akan mulai makan malam pada jam 6:00.
1203,saya akan mulai makan malam pada jam 6:00.,Oke. kupikir aku akan bangun saat itu.
1204,Oke. kupikir aku akan bangun saat itu.,"jika tidak, hidungmu akan membangunkanmu."
1205,"jika tidak, hidungmu akan membangunkanmu.",maksudmu aku akan mencium bau makanan yang dimasak?
1206,maksudmu aku akan mencium bau makanan yang dimasak?,Anda bahkan mungkin bermimpi tentang makan malam.
1207,Anda bahkan mungkin bermimpi tentang makan malam.,menurutku aku tidak akan bermimpi tentang apa pun. saya sangat lelah.
1208,menurutku aku tidak akan bermimpi tentang apa pun. saya sangat lelah.,selamat tidur siang.
1209,itu pemakaman yang bagus.,"ya, ayah, benar."
1210,"ya, ayah, benar.",sang anak memberikan pidato yang bagus tentang ayahnya.
1211,sang anak memberikan pidato yang bagus tentang ayahnya.,itu juga panjang.
1212,itu juga panjang.,menurutku durasinya sekitar 45 menit.
1213,menurutku durasinya sekitar 45 menit.,tapi itu berlalu dengan cepat. itu menarik.
1214,tapi itu berlalu dengan cepat. itu menarik.,aku menyukainya.
1215,aku menyukainya.,aku akan memberimu pidato seperti itu juga.
1216,aku akan memberimu pidato seperti itu juga.,menurutmu apakah ada orang yang akan datang ke pemakamanku?
1217,menurutmu apakah ada orang yang akan datang ke pemakamanku?,Tentu saja.
1218,Tentu saja.,menurutku hanya keluarga yang akan berada di sana.
1219,menurutku hanya keluarga yang akan berada di sana.,kamu punya banyak teman. mereka juga akan berada di sana!
1220,astaga! suara apa itu?,aku harus membuang ingus.
1221,aku harus membuang ingus.,apakah kamu harus meniup tepat di sebelah telepon?
1222,apakah kamu harus meniup tepat di sebelah telepon?,apakah kamu mendengar itu?
1223,apakah kamu mendengar itu?,tentu saja aku mendengarnya. kupikir ada pesawat yang menabrak rumahmu.
1224,tentu saja aku mendengarnya. kupikir ada pesawat yang menabrak rumahmu.,itu tidak terlalu keras.
1225,itu tidak terlalu keras.,"suatu saat aku akan membuang ingus untukmu, dan kamu akan lihat."
1226,"suatu saat aku akan membuang ingus untukmu, dan kamu akan lihat.",Oke. aku akan menuruti kata-katamu.
1227,Oke. aku akan menuruti kata-katamu.,aku kira kamu punya gajah di rumahmu.
1228,aku kira kamu punya gajah di rumahmu.,Anda lucu.
1229,Anda lucu.,apa katamu? menurutku aku sudah tuli.
1230,apa katamu? menurutku aku sudah tuli.,aku pergi ke kamar mandi untuk membuang ingus. aku akan segera kembali.
1231,saya punya banyak teman.,Sungguh? berapa banyak yang kamu punya?
1232,Sungguh? berapa banyak yang kamu punya?,"entahlah, mungkin seratus."
1233,"entahlah, mungkin seratus.",itu teman yang banyak. Apakah kamu punya teman baik?
1234,itu teman yang banyak. Apakah kamu punya teman baik?,Tentu saja. aku punya banyak teman baik.
1235,Tentu saja. aku punya banyak teman baik.,berapa banyak sahabat yang kamu punya?
1236,berapa banyak sahabat yang kamu punya?,menurutku sekitar dua puluh lima.
1237,menurutku sekitar dua puluh lima.,Hmm. aku hanya punya satu sahabat.
1238,Hmm. aku hanya punya satu sahabat.,Saya merasa kasihan untuk Anda.
1239,Saya merasa kasihan untuk Anda.,aku hanya punya sedikit teman.
1240,aku hanya punya sedikit teman.,kamu pasti kesepian. aku akan berbagi temanku denganmu.
1241,kamu pasti kesepian. aku akan berbagi temanku denganmu.,itu sangat baik darimu.
1242,jangan pernah selingkuh dariku.,mengapa saya melakukan itu?
1243,mengapa saya melakukan itu?,karena laki-laki suka selingkuh.
1244,karena laki-laki suka selingkuh.,"beberapa pria melakukannya, tapi bukan aku."
1245,"beberapa pria melakukannya, tapi bukan aku.",aku mengawasi kamu.
1246,aku mengawasi kamu.,aku adalah buku yang terbuka. awasi aku sesukamu.
1247,aku adalah buku yang terbuka. awasi aku sesukamu.,"jika aku menangkapmu, kamu akan menyesal."
1248,"jika aku menangkapmu, kamu akan menyesal.","kamu tidak akan menangkapku, karena aku mencintaimu. aku bukan seorang penipu."
1249,"kamu tidak akan menangkapku, karena aku mencintaimu. aku bukan seorang penipu.",aku akan mencongkel matamu.
1250,aku akan mencongkel matamu.,aku tidak menginginkan wanita lain.
1251,aku tidak menginginkan wanita lain.,aku akan memotong jari kakimu satu per satu.
1252,aku akan memotong jari kakimu satu per satu.,"sayang, kumohon. kamu satu-satunya wanita untukku, selamanya. aku bersumpah."
1253,aku benci pergi keluar.,saya juga.
1254,saya juga.,kenapa kamu benci keluar rumah?
1255,kenapa kamu benci keluar rumah?,aku bertemu terlalu banyak orang brengsek.
1256,aku bertemu terlalu banyak orang brengsek.,saya setuju.
1257,saya setuju.,kota ini penuh dengan orang brengsek.
1258,kota ini penuh dengan orang brengsek.,orang kasar ada dimana-mana.
1259,orang kasar ada dimana-mana.,tapi apa yang bisa kamu lakukan?
1260,tapi apa yang bisa kamu lakukan?,kamu bisa berteriak pada mereka.
1261,kamu bisa berteriak pada mereka.,dan mereka akan membentakmu kembali.
1262,dan mereka akan membentakmu kembali.,berteriak tidak ada gunanya.
1263,berteriak tidak ada gunanya.,TIDAK. hal terbaik yang harus dilakukan adalah tetap di rumah.
1264,maukah kamu melihat formulir ini?,apakah kamu mempunyai masalah dengannya?
1265,apakah kamu mempunyai masalah dengannya?,saya tidak mengerti beberapa hal.
1266,saya tidak mengerti beberapa hal.,biarkan saya membantu Anda.
1267,biarkan saya membantu Anda.,"apa maksudnya ""mi""?"
1268,"apa maksudnya ""mi""?","""mi"" adalah singkatan dari inisial tengah."
1269,"""mi"" adalah singkatan dari inisial tengah.","apa maksudnya ""bb/dd/yy""?"
1270,"apa maksudnya ""bb/dd/yy""?",itu berarti bulan/hari/tahun. menggunakan angka.
1271,itu berarti bulan/hari/tahun. menggunakan angka.,saya tidak mengerti.
1272,saya tidak mengerti.,"misalnya tanggal lahir Anda 12 Januari 1987, tulis 12/01/87."
1273,"misalnya tanggal lahir Anda 12 Januari 1987, tulis 12/01/87.",Oh. itu cukup sederhana.
1274,Oh. itu cukup sederhana.,"selalu cetak dengan jelas, dan isi gelembung dengan lengkap."
1275,ayo pergi ke penampungan hewan.,apa yang ingin kamu lakukan?
1276,apa yang ingin kamu lakukan?,saya ingin mendapatkan anak anjing untuk anak saya.
1277,saya ingin mendapatkan anak anjing untuk anak saya.,itu akan membuatnya sangat bahagia.
1278,itu akan membuatnya sangat bahagia.,aku akan membelikannya salah satu anjing kecil itu.
1279,aku akan membelikannya salah satu anjing kecil itu.,salah satu yang tidak akan tumbuh terlalu besar.
1280,salah satu yang tidak akan tumbuh terlalu besar.,dan makan terlalu banyak.
1281,dan makan terlalu banyak.,apakah kamu tahu yang mana yang dia suka?
1282,apakah kamu tahu yang mana yang dia suka?,"oh ya, aku membawanya ke sana kemarin. dia menunjukkan padaku satu yang sangat dia sukai."
1283,"oh ya, aku membawanya ke sana kemarin. dia menunjukkan padaku satu yang sangat dia sukai.",aku yakin kamu harus menyeretnya pergi.
1284,aku yakin kamu harus menyeretnya pergi.,dia ingin membawanya pulang kemarin.
1285,dia ingin membawanya pulang kemarin.,aku ingin tahu apa yang akan dia beri nama.
1286,seperti apa cuaca nya?,aku tidak tahu. aku baru saja bangun tidur.
1287,aku tidak tahu. aku baru saja bangun tidur.,kenapa kamu tidak melihat keluar?
1288,kenapa kamu tidak melihat keluar?,Oke. terlihat seperti hujan.
1289,Oke. terlihat seperti hujan.,mengapa kamu mengatakan itu?
1290,mengapa kamu mengatakan itu?,langit berwarna abu-abu.
1291,langit berwarna abu-abu.,apakah saat ini hujan?
1292,apakah saat ini hujan?,TIDAK.
1293,TIDAK.,bagaimana Anda tahu?
1294,bagaimana Anda tahu?,jalanan tidak basah.
1295,jalanan tidak basah.,aku harus pergi berbelanja hari ini.
1296,aku harus pergi berbelanja hari ini.,sebaiknya kamu membawa payung.
1297,aku tidak percaya betapa panasnya cuacanya.,ini bahkan belum tengah hari.
1298,ini bahkan belum tengah hari.,itu berarti akan menjadi lebih panas.
1299,itu berarti akan menjadi lebih panas.,aku sekarat karena kepanasan.
1300,aku sekarat karena kepanasan.,menyalakan AC.
1301,menyalakan AC.,itu tidak berhasil.
1302,itu tidak berhasil.,Apa yang terjadi?
1303,Apa yang terjadi?,aku tidak tahu.
1304,aku tidak tahu.,apakah kamu menelpon tukang reparasi?
1305,apakah kamu menelpon tukang reparasi?,Tentu saja.
1306,Tentu saja.,kapan dia datang?
1307,kapan dia datang?,dia sibuk. katanya minggu depan.
1308,aku akan senang ketika musim dingin tiba.,mengapa demikian?
1309,mengapa demikian?,karena aku suka salju.
1310,karena aku suka salju.,"ya, salju itu menyenangkan."
1311,"ya, salju itu menyenangkan.",tahun lalu kami membuat manusia salju besar.
1312,tahun lalu kami membuat manusia salju besar.,seberapa besar itu?
1313,seberapa besar itu?,tingginya tujuh kaki.
1314,tingginya tujuh kaki.,berapa lama waktu yang dibutuhkan?
1315,berapa lama waktu yang dibutuhkan?,kami butuh waktu seharian.
1316,kami butuh waktu seharian.,apakah kamu memberinya hidung?
1317,apakah kamu memberinya hidung?,Tentu saja. kami memberinya wortel besar sebagai hidungnya.
1318,Tentu saja. kami memberinya wortel besar sebagai hidungnya.,izinkan saya membantu Anda membuatnya tahun ini.
1319,aku akan pergi ke bank.,apa yang perlu kamu lakukan?
1320,apa yang perlu kamu lakukan?,saya perlu menarik sejumlah uang.
1321,saya perlu menarik sejumlah uang.,bagaimana kamu akan melakukan itu?
1322,bagaimana kamu akan melakukan itu?,aku akan menggunakan atm saja.
1323,aku akan menggunakan atm saja.,apa itu?
1324,apa itu?,itu adalah mesin anjungan tunai mandiri (anjungan tunai mandiri).
1325,itu adalah mesin anjungan tunai mandiri (anjungan tunai mandiri).,itu memberimu uang?
1326,itu memberimu uang?,saya baru saja memasukkan kartu debit saya ke dalam mesin.
1327,saya baru saja memasukkan kartu debit saya ke dalam mesin.,dan itu memberimu uang?
1328,dan itu memberimu uang?,"ya, itu memberiku uang, tapi itu uangku sendiri."
1329,"ya, itu memberiku uang, tapi itu uangku sendiri.",Oh. apa gunanya itu? saya pikir itu memberi Anda uang gratis.
1330,apakah kamu membuang tempat sampah biru di jalan?,Oh tidak. saya lupa.
1331,Oh tidak. saya lupa.,"baiklah, sebaiknya kamu membawanya ke depan."
1332,"baiklah, sebaiknya kamu membawanya ke depan.",jam berapa truk daur ulang datang?
1333,jam berapa truk daur ulang datang?,"biasanya tiba di sini pada siang hari Selasa, yaitu besok."
1334,"biasanya tiba di sini pada siang hari Selasa, yaitu besok.",aku akan membawanya ke jalan besok pagi.
1335,aku akan membawanya ke jalan besok pagi.,"oh, tidak, kamu tidak melakukannya."
1336,"oh, tidak, kamu tidak melakukannya.",Apa maksudmu?
1337,Apa maksudmu?,setiap pagi Anda bangun terlambat dan bergegas berangkat kerja hingga larut malam.
1338,setiap pagi Anda bangun terlambat dan bergegas berangkat kerja hingga larut malam.,menurutmu aku akan lupa melakukannya?
1339,menurutmu aku akan lupa melakukannya?,"Anda akan ingat untuk melakukannya, tetapi Anda tidak akan punya waktu untuk melakukannya."
1340,"Anda akan ingat untuk melakukannya, tetapi Anda tidak akan punya waktu untuk melakukannya.","oke, aku akan membawanya ke depan sekarang."
1341,Apakah kamu siap?,siap untuk apa?
1342,siap untuk apa?,siap untuk perubahan besar.
1343,siap untuk perubahan besar.,apa yang kamu bicarakan?
1344,apa yang kamu bicarakan?,bangsa ini beralih ke TV digital.
1345,bangsa ini beralih ke TV digital.,Oh. tentu saja aku siap.
1346,Oh. tentu saja aku siap.,apakah kamu membeli konverternya?
1347,apakah kamu membeli konverternya?,"tidak, saya tidak memerlukan konverter karena saya membeli TV digital."
1348,"tidak, saya tidak memerlukan konverter karena saya membeli TV digital.",berapa harganya?
1349,berapa harganya?,harganya hanya sekitar $120 untuk layar 13 inci.
1350,harganya hanya sekitar $120 untuk layar 13 inci.,apakah itu mengambil saluran digital?
1351,apakah itu mengambil saluran digital?,Oh ya. saya mendapatkan enam saluran Korea tetapi tidak ada yang berbahasa Inggris!
1352,orang-orang itu lucu.,mereka tentu saja.
1353,mereka tentu saja.,pernahkah kamu mendengar tentang pilotnya?
1354,pernahkah kamu mendengar tentang pilotnya?,orang yang mencuri pesawat kecil?
1355,orang yang mencuri pesawat kecil?,"ya, dia mencuri pesawat di Kanada dan terbang ke AS."
1356,"ya, dia mencuri pesawat di Kanada dan terbang ke AS.",apakah mereka menangkapnya?
1357,apakah mereka menangkapnya?,"Ya. setelah dua as. jet tempur mengikutinya selama satu jam, dia mendarat di jalan raya."
1358,"Ya. setelah dua as. jet tempur mengikutinya selama satu jam, dia mendarat di jalan raya.",apakah dia jatuh?
1359,apakah dia jatuh?,"tidak, dia baru saja mendaratkan pesawat dan berjalan ke restoran."
1360,"tidak, dia baru saja mendaratkan pesawat dan berjalan ke restoran.",apakah polisi mengetahui alasan dia terbang ke AS?
1361,apakah polisi mengetahui alasan dia terbang ke AS?,hidupnya payah. dia berharap jet tempur akan menembaknya jatuh.
1362,hidupnya payah. dia berharap jet tempur akan menembaknya jatuh.,Pria malang.
1363,polisi membutuhkan bantuan kita untuk menemukan perampok.,bagaimana Anda tahu?
1364,bagaimana Anda tahu?,berita TV melaporkan perampokan bank.
1365,berita TV melaporkan perampokan bank.,apakah mereka tahu seperti apa rupa perampok itu?
1366,apakah mereka tahu seperti apa rupa perampok itu?,"ya, tingginya 6 kaki, 200 pon, rambut hitam, dan berusia sekitar 30 tahun."
1367,"ya, tingginya 6 kaki, 200 pon, rambut hitam, dan berusia sekitar 30 tahun.",ras apa dia?
1368,ras apa dia?,mereka tidak mengatakannya.
1369,mereka tidak mengatakannya.,berita TV tidak lagi memberi tahu kita perlombaannya.
1370,berita TV tidak lagi memberi tahu kita perlombaannya.,tentu saja tidak. itu akan menjadi rasis.
1371,tentu saja tidak. itu akan menjadi rasis.,tapi bagaimana kita bisa mengidentifikasi seseorang jika kita tidak mengetahui rasnya?
1372,tapi bagaimana kita bisa mengidentifikasi seseorang jika kita tidak mengetahui rasnya?,jangan tanya aku.
1373,jangan tanya aku.,"maka mereka juga tidak boleh memberi tahu kami apakah perampoknya laki-laki atau perempuan, karena itu seksis."
1374,jangan menyeka hidungmu dengan lengan bajumu.,tapi aku tidak punya tisu.
1375,tapi aku tidak punya tisu.,lalu pergi mencari tisu di kamar mandi.
1376,lalu pergi mencari tisu di kamar mandi.,saya tidak punya waktu untuk mendapatkannya dari sana.
1377,saya tidak punya waktu untuk mendapatkannya dari sana.,lengan bajumu bukan tisu.
1378,lengan bajumu bukan tisu.,"tapi bu, semua temanku menggunakan lengan bajunya."
1379,"tapi bu, semua temanku menggunakan lengan bajunya.",itu tidak membuatnya benar.
1380,itu tidak membuatnya benar.,aku melihat ayah menyeka hidungnya dengan lengan bajunya kemarin.
1381,aku melihat ayah menyeka hidungnya dengan lengan bajunya kemarin.,aku akan berbicara dengan ayahmu tentang hal itu.
1382,aku akan berbicara dengan ayahmu tentang hal itu.,Aku yakin ayah selalu melakukannya ketika dia seusiaku.
1383,Aku yakin ayah selalu melakukannya ketika dia seusiaku.,ayahmu adalah anak kecil yang baik.
1384,ayahmu adalah anak kecil yang baik.,bagaimana Anda tahu? apakah kamu ibunya juga?
1385,saya khawatir.,khawatir tentang apa?
1386,khawatir tentang apa?,saya akan menikah.
1387,saya akan menikah.,"kamu seharusnya bahagia, bukan khawatir."
1388,"kamu seharusnya bahagia, bukan khawatir.","aku bahagia, tapi pernikahan itu tanggung jawab yang besar."
1389,"aku bahagia, tapi pernikahan itu tanggung jawab yang besar.","ya, kamu harus menjaga istrimu."
1390,"ya, kamu harus menjaga istrimu.",dan aku harus menjaga anak-anak kami.
1391,dan aku harus menjaga anak-anak kami.,apakah kamu akan memulai sebuah keluarga?
1392,apakah kamu akan memulai sebuah keluarga?,Ya. kami ingin memiliki seorang anak lelaki dan perempuan kecil.
1393,Ya. kami ingin memiliki seorang anak lelaki dan perempuan kecil.,kedengarannya luar biasa.
1394,kedengarannya luar biasa.,kecuali kita tidak mampu membelinya!
1395,kecuali kita tidak mampu membelinya!,tidak heran kamu khawatir.
1396,saya tidak mengerti seni.,atau artis.
1397,atau artis.,mereka berada di dunia yang berbeda.
1398,mereka berada di dunia yang berbeda.,aku melihat lukisan sebuah toples yang penuh dengan pensil.
1399,aku melihat lukisan sebuah toples yang penuh dengan pensil.,artis itu mengatakan toples itu penuh dan kosong.
1400,artis itu mengatakan toples itu penuh dan kosong.,tapi itu penuh dengan pensil! bagaimana dia bisa mengatakan itu kosong?
1401,tapi itu penuh dengan pensil! bagaimana dia bisa mengatakan itu kosong?,seniman melihat sesuatu secara berbeda.
1402,seniman melihat sesuatu secara berbeda.,pernahkah kamu melihat sesuatu yang dilukis picasso?
1403,pernahkah kamu melihat sesuatu yang dilukis picasso?,Tentu saja! dia terkenal di dunia.
1404,Tentu saja! dia terkenal di dunia.,apakah dia pernah mengambil pelajaran seni?
1405,apakah dia pernah mengambil pelajaran seni?,saya tidak percaya. saya menggambar lukisan seperti itu di kelas tiga.
1406,saya tidak percaya. saya menggambar lukisan seperti itu di kelas tiga.,di mana mereka? mungkin mereka bernilai jutaan.
1407,apa gunanya?,gunanya apa?
1408,gunanya apa?,atas hidup.
1409,atas hidup.,"siapa tahu? kamu hidup, lalu kamu mati."
1410,"siapa tahu? kamu hidup, lalu kamu mati.",kita harus berada di sini karena suatu alasan.
1411,kita harus berada di sini karena suatu alasan.,mungkin kita di sini untuk bersenang-senang.
1412,mungkin kita di sini untuk bersenang-senang.,lalu kenapa aku tidak bersenang-senang?
1413,lalu kenapa aku tidak bersenang-senang?,karena kamu terlalu banyak berpikir.
1414,karena kamu terlalu banyak berpikir.,jadi aku harus berhenti berpikir?
